"","covariate","frequency","importance1$frequency","importance2$frequency","importance3$frequency","importance4$frequency","mean_frequency","std_frequency"
"r_PStotal.W1","12",0.0846612372062178,0.0834406315013281,0.0843539057910582,0.083562420431449,0.082800261066199,0.0837636911992504,0.000746159703192026
"J0378_PStotal.r_PStotal","1",0.0782066808222089,0.079905528916082,0.0803798421528687,0.0805372732664752,0.0795097220717323,0.0797078094458734,0.000931578892316349
"u_PStotal.r_PStotal","8",0.0773170999675635,0.0750953938142148,0.077925253403218,0.076531141382245,0.0744241396259971,0.0762586056386477,0.00147400203927122
"r_PStotal.J0660_PStotal","6",0.0717606827459324,0.0720665987463083,0.07317878664661,0.0726866478924215,0.070620715527235,0.0720626863117015,0.000975385720616994
"r_PStotal.i_PStotal","10",0.0606959553263947,0.0622639123475822,0.060591010435164,0.0607066557213984,0.0588977164349342,0.0606310500530947,0.00119187004190793
"J0410_PStotal.r_PStotal","3",0.0595002973971141,0.0589460251589593,0.0599932164796781,0.058845679449523,0.0577231138489625,0.0590016664668474,0.000850577588168854
"g_PStotal.r_PStotal","9",0.0570699656945738,0.0573684878760608,0.0577030415553094,0.0587777494482603,0.0567805548234514,0.0575399598795311,0.000772287490267796
"J0430_PStotal.r_PStotal","4",0.0549461413765204,0.0564917506662191,0.0564562240436418,0.0565947298907168,0.055982370783112,0.056094243352042,0.000683773076244165
"J0515_PStotal.r_PStotal","5",0.0548383860269912,0.0561247718287202,0.0558491292180671,0.0537776994606301,0.0539720199827917,0.0549124013034401,0.00106356065154486
"J0395_PStotal.r_PStotal","2",0.0522150157501903,0.0493393139645063,0.0510904189588644,0.0501455829300213,0.0519549119725973,0.0509490487152359,0.00121153025216059
"r_PStotal.W2","13",0.0480793779944828,0.0468982176350428,0.0474417842152463,0.0469910190119924,0.0467472044000161,0.0472315206513561,0.00054003865859904
"r_PStotal.z_PStotal","11",0.0391213579449742,0.0408247877517189,0.0409092522846979,0.0405773573230214,0.0414741574932022,0.0405813825595229,0.000879698784257622
"NUVmag.r_PStotal","15",0.0350301785080825,0.0350638273971567,0.0361038480275375,0.0362765134912932,0.0364132012504254,0.035777513734899,0.000675916336307661
"r_PStotal.J0861_PStotal","7",0.033582433804685,0.0349344501774869,0.0356672877232182,0.035259359184863,0.0342985831565107,0.0347484228093528,0.000821866924100629
"FUVmag.r_PStotal","14",0.0278984984300133,0.0273547853973491,0.0270648847713702,0.0276741179201207,0.0275457404574898,0.0275076053952686,0.000316754467649756
